Email,Filename,Rating,original Rating,Unnamed: 4
1,fty1093.jpg,3,,
9,fty1093.jpg,3,,
10,fty1093.jpg,4,,
2,fty1093.jpg,4,3.0,
8,fty1093.jpg,4,,
3,fty1093.jpg,4,,
7,fty1093.jpg,3,,
12,fty1093.jpg,3,,
4,fty1093.jpg,4,,
6,fty1093.jpg,4,,
5,fty1093.jpg,4,,
11,fty1093.jpg,3,,
7,fty1094.jpg,4,,
12,fty1094.jpg,4,,
3,fty1094.jpg,5,,
4,fty1094.jpg,4,,
2,fty1094.jpg,4,4.0,
6,fty1094.jpg,5,,
5,fty1094.jpg,4,,
10,fty1094.jpg,4,,
1,fty1094.jpg,3,,
9,fty1094.jpg,3,,
8,fty1094.jpg,4,,
11,fty1094.jpg,3,,
9,fty1095.jpg,2,,
4,fty1095.jpg,2,,
2,fty1095.jpg,3,2.0,
8,fty1095.jpg,3,,
3,fty1095.jpg,3,,
6,fty1095.jpg,2,,
5,fty1095.jpg,3,,
12,fty1095.jpg,3,,
7,fty1095.jpg,3,,
1,fty1095.jpg,1,,
10,fty1095.jpg,3,,
11,fty1095.jpg,3,,
3,fty1096.jpg,2,,
4,fty1096.jpg,1,,
8,fty1096.jpg,3,,
12,fty1096.jpg,2,,
11,fty1096.jpg,3,,
9,fty1096.jpg,2,,
6,fty1096.jpg,2,,
1,fty1096.jpg,3,,
7,fty1096.jpg,3,,
10,fty1096.jpg,3,,
5,fty1096.jpg,3,,
2,fty1096.jpg,3,3.0,
1,fty1097.jpg,2,,
7,fty1097.jpg,3,,
8,fty1097.jpg,3,,
2,fty1097.jpg,3,3.0,
3,fty1097.jpg,2,,
12,fty1097.jpg,2,,
5,fty1097.jpg,3,,
11,fty1097.jpg,3,,
10,fty1097.jpg,3,,
9,fty1097.jpg,2,,
4,fty1097.jpg,2,,
6,fty1097.jpg,2,,
3,fty1098.jpg,1,,
12,fty1098.jpg,1,,
11,fty1098.jpg,1,,
1,fty1098.jpg,1,,
7,fty1098.jpg,2,,
4,fty1098.jpg,1,,
5,fty1098.jpg,2,,
9,fty1098.jpg,1,,
10,fty1098.jpg,1,,
2,fty1098.jpg,3,2.0,
6,fty1098.jpg,1,,
8,fty1098.jpg,2,,
5,fty1099.jpg,5,,
1,fty1099.jpg,4,,
7,fty1099.jpg,4,,
9,fty1099.jpg,4,,
10,fty1099.jpg,5,,
11,fty1099.jpg,4,,
8,fty1099.jpg,4,,
12,fty1099.jpg,5,,
2,fty1099.jpg,5,5.0,
3,fty1099.jpg,5,,
6,fty1099.jpg,4,,
4,fty1099.jpg,4,,
6,fty1100.jpg,2,,
4,fty1100.jpg,2,,
1,fty1100.jpg,2,,
5,fty1100.jpg,3,,
12,fty1100.jpg,2,,
11,fty1100.jpg,3,,
7,fty1100.jpg,3,,
3,fty1100.jpg,2,,
2,fty1100.jpg,3,3.0,
10,fty1100.jpg,3,,
8,fty1100.jpg,3,,
9,fty1100.jpg,2,,
2,fty1101.jpg,4,4.0,
4,fty1101.jpg,4,,
10,fty1101.jpg,4,,
1,fty1101.jpg,5,,
8,fty1101.jpg,3,,
3,fty1101.jpg,3,,
12,fty1101.jpg,3,,
9,fty1101.jpg,3,,
6,fty1101.jpg,5,,
11,fty1101.jpg,3,,
7,fty1101.jpg,4,,
5,fty1101.jpg,4,,
4,fty1102.jpg,3,,
1,fty1102.jpg,4,,
9,fty1102.jpg,3,,
5,fty1102.jpg,5,,
8,fty1102.jpg,4,,
10,fty1102.jpg,4,,
2,fty1102.jpg,4,4.0,
6,fty1102.jpg,3,,
3,fty1102.jpg,4,,
7,fty1102.jpg,4,,
12,fty1102.jpg,3,,
11,fty1102.jpg,3,,
10,fty1103.jpg,3,,
4,fty1103.jpg,2,,
6,fty1103.jpg,3,,
12,fty1103.jpg,2,,
1,fty1103.jpg,3,,
5,fty1103.jpg,3,,
8,fty1103.jpg,3,,
11,fty1103.jpg,3,,
